ID,Genero,Edad,Nivel_Educativo,Cargo,Pais,Experiencia,Salario
205,M,53,Secundaria,Gerente,BR,11,114313
206,F,56,Licenciatura,Gerente,FR,7,93547
207,F,21,Doctorado,Supervisor,MX,11,60823
208,F,31,Licenciatura,Gerente,US,40,100588
209,M,32,Secundaria,Asistente,DE,15,49582
210,F,32,Maestría,Gerente,US,10,89572
211,M,23,Licenciatura,Director,ES,35,96770
212,M,35,Preparatoria,Director,DE,40,56183
213,F,22,Preparatoria,Asistente,DE,28,32781
214,M,49,Doctorado,Supervisor,FR,13,81324
215,F,23,Secundaria,Especialista,ES,18,52657
216,F,43,Maestría,Gerente,BR,4,105380
217,F,32,Preparatoria,Director,DE,26,112409
218,F,37,Licenciatura,Supervisor,US,19,75913
219,F,43,Maestría,Analista,ES,25,50227
220,F,49,Secundaria,Director,DE,34,94177
221,M,52,Licenciatura,Supervisor,ES,27,63365
222,M,45,Maestría,Supervisor,BR,31,70123
223,F,60,Secundaria,Gerente,MX,30,42853
224,M,27,Maestría,Supervisor,DE,21,78021
225,M,21,Preparatoria,Supervisor,BR,9,102433
226,M,35,Preparatoria,Supervisor,BR,20,78941
227,F,43,Secundaria,Asistente,BR,1,100803
228,M,51,Preparatoria,Asistente,FR,5,62704
229,M,58,Secundaria,Especialista,DE,17,60305
230,F,48,Doctorado,Supervisor,US,36,57640
231,M,31,Preparatoria,Gerente,FR,20,105790
232,M,50,Maestría,Supervisor,DE,14,41337
233,M,57,Maestría,Analista,FR,40,117655
234,M,55,Secundaria,Supervisor,DE,39,80079
235,M,42,Doctorado,Supervisor,FR,5,58423
236,M,42,Licenciatura,Analista,ES,4,109978
237,M,30,Maestría,Director,US,27,104332
238,F,36,Doctorado,Asistente,DE,9,90231
239,M,25,Maestría,Asistente,ES,10,25190
240,M,38,Secundaria,Gerente,FR,31,40022
241,M,21,Secundaria,Asistente,FR,11,78155
242,M,44,Licenciatura,Especialista,ES,16,102429
243,F,23,Secundaria,Gerente,FR,26,50056
244,F,30,Licenciatura,Director,FR,11,58152
245,F,56,Secundaria,Supervisor,BR,27,115610
246,M,33,Maestría,Supervisor,MX,26,41802
247,F,34,Secundaria,Director,MX,38,100578
248,M,34,Preparatoria,Supervisor,MX,13,49164
249,F,33,Doctorado,Director,DE,16,108993
250,F,37,Maestría,Supervisor,US,23,101048
251,M,46,Doctorado,Asistente,US,5,40725
252,F,52,Preparatoria,Asistente,MX,15,112952
253,F,21,Doctorado,Supervisor,DE,18,57608
254,F,20,Preparatoria,Analista,MX,9,42360
255,M,50,Secundaria,Director,BR,26,118201
256,M,28,Secundaria,Gerente,DE,8,30269
257,F,31,Preparatoria,Especialista,BR,38,55258
258,M,58,Maestría,Supervisor,ES,10,57767
259,M,20,Secundaria,Gerente,US,14,31103
260,M,34,Maestría,Gerente,DE,29,34463
261,F,36,Doctorado,Gerente,US,10,114662
262,M,58,Secundaria,Analista,MX,18,76736
263,F,39,Preparatoria,Analista,US,21,42427
264,M,37,Preparatoria,Asistente,DE,1,53591
265,M,47,Secundaria,Especialista,BR,8,61247
266,F,44,Preparatoria,Especialista,BR,34,39760
267,F,42,Secundaria,Director,MX,20,100310
268,M,49,Licenciatura,Supervisor,MX,34,25369
269,F,36,Secundaria,Supervisor,FR,7,110439
270,F,33,Maestría,Supervisor,ES,39,52551
271,M,49,Doctorado,Supervisor,MX,31,119009
272,F,39,Preparatoria,Especialista,MX,15,39519
273,M,53,Doctorado,Director,DE,29,116255
274,M,59,Secundaria,Supervisor,MX,20,26803
275,F,45,Secundaria,Supervisor,BR,8,79179
276,M,57,Secundaria,Director,ES,35,39018
277,M,26,Maestría,Especialista,FR,40,69742
278,M,20,Doctorado,Asistente,DE,30,52044
279,F,52,Doctorado,Analista,MX,10,83598
280,F,43,Preparatoria,Supervisor,US,5,43924
281,M,55,Secundaria,Analista,ES,22,44265
282,F,58,Preparatoria,Analista,MX,18,119937
283,M,58,Maestría,Supervisor,DE,3,109929
284,F,38,Licenciatura,Asistente,BR,25,41153
285,F,39,Maestría,Gerente,BR,17,73333
286,F,26,Licenciatura,Gerente,US,8,67613
287,M,50,Secundaria,Supervisor,DE,30,78887
288,M,24,Doctorado,Director,FR,28,74640
289,F,41,Doctorado,Especialista,FR,38,111444
290,F,37,Preparatoria,Director,US,11,93008
291,M,60,Licenciatura,Asistente,US,32,114170
292,M,40,Preparatoria,Especialista,ES,19,61053
293,F,37,Secundaria,Supervisor,BR,15,83118
294,M,36,Doctorado,Especialista,BR,34,111916
295,F,39,Preparatoria,Especialista,DE,7,51417
296,M,32,Licenciatura,Director,ES,6,108237
297,F,29,Secundaria,Especialista,US,39,44125
298,F,53,Secundaria,Analista,US,39,52103
299,M,35,Licenciatura,Especialista,DE,24,76014
300,M,23,Preparatoria,Supervisor,US,16,71291
301,M,58,Maestría,Supervisor,BR,32,49641
302,M,45,Preparatoria,Especialista,FR,28,112275
303,M,40,Licenciatura,Gerente,US,27,111809
304,F,28,Doctorado,Gerente,MX,4,56820
305,M,21,Preparatoria,Supervisor,FR,7,89213
306,F,51,Maestría,Analista,MX,18,89082
307,M,38,Preparatoria,Director,DE,18,60900
308,M,36,Doctorado,Especialista,DE,17,82337
309,F,46,Secundaria,Especialista,MX,33,31413
310,F,45,Preparatoria,Especialista,US,22,58044
311,M,44,Secundaria,Analista,MX,27,25400
312,F,22,Doctorado,Especialista,US,17,81792
313,M,57,Maestría,Especialista,MX,23,85762
314,M,56,Preparatoria,Especialista,ES,6,45788
315,M,32,Secundaria,Gerente,BR,1,33048
316,F,41,Maestría,Director,FR,7,32810
317,F,34,Secundaria,Asistente,FR,32,85128
318,M,54,Secundaria,Supervisor,MX,16,93718
319,M,60,Secundaria,Especialista,ES,38,62889
320,M,50,Preparatoria,Gerente,US,32,51717
321,M,42,Secundaria,Director,DE,15,79185
322,F,52,Doctorado,Gerente,DE,38,39472
323,M,39,Licenciatura,Asistente,DE,28,62645
324,M,30,Maestría,Asistente,DE,18,43441
325,F,55,Maestría,Especialista,FR,7,62151
326,F,31,Preparatoria,Gerente,BR,32,61612
327,M,38,Preparatoria,Analista,US,36,48207
328,F,26,Preparatoria,Analista,US,39,80856
329,M,50,Licenciatura,Analista,FR,37,26804
330,M,28,Doctorado,Especialista,BR,25,87027
331,F,36,Maestría,Especialista,FR,39,94414
332,M,55,Maestría,Supervisor,ES,34,33558
333,F,31,Preparatoria,Supervisor,ES,25,101871
334,M,41,Preparatoria,Especialista,FR,3,84562
335,M,25,Doctorado,Asistente,FR,39,70592
336,F,34,Secundaria,Analista,US,7,64740
337,F,42,Doctorado,Asistente,MX,38,109443
338,F,34,Preparatoria,Gerente,BR,7,54401
339,M,39,Maestría,Supervisor,BR,37,83896
340,M,46,Doctorado,Gerente,DE,7,51335
341,M,41,Secundaria,Supervisor,BR,8,115234
342,M,43,Licenciatura,Director,MX,16,61125
343,F,36,Licenciatura,Especialista,FR,24,87499
344,F,57,Maestría,Director,MX,38,76196
345,F,38,Secundaria,Asistente,US,39,60342
346,M,49,Doctorado,Asistente,FR,27,46031
347,F,27,Preparatoria,Especialista,ES,26,87960
348,F,50,Preparatoria,Supervisor,MX,3,53909
349,F,23,Secundaria,Asistente,MX,23,82426
350,F,60,Doctorado,Director,BR,29,42496
351,M,57,Secundaria,Especialista,US,30,27247
352,M,57,Doctorado,Supervisor,MX,37,55726
353,F,59,Licenciatura,Especialista,FR,34,109570
354,M,24,Doctorado,Analista,FR,3,88688
355,F,50,Doctorado,Analista,ES,26,75407
356,M,32,Preparatoria,Especialista,MX,28,53688
357,M,52,Maestría,Asistente,US,2,97318
358,F,27,Preparatoria,Director,ES,14,91807
359,F,44,Licenciatura,Gerente,ES,37,109133
360,F,53,Secundaria,Director,BR,12,43965
361,F,39,Preparatoria,Especialista,DE,2,39394
362,M,46,Secundaria,Gerente,ES,22,60084
363,F,23,Preparatoria,Especialista,MX,7,119534
364,M,29,Maestría,Supervisor,US,19,73605
365,F,28,Maestría,Especialista,ES,27,93423
366,M,32,Preparatoria,Director,MX,2,58398
367,F,41,Preparatoria,Analista,FR,30,115427
368,M,46,Secundaria,Gerente,FR,17,37954
369,M,56,Secundaria,Supervisor,US,23,60626
370,F,49,Licenciatura,Analista,FR,23,111283
371,F,29,Licenciatura,Analista,FR,23,92696
372,M,40,Preparatoria,Analista,FR,16,65660
373,F,31,Maestría,Especialista,ES,18,77915
374,F,25,Licenciatura,Supervisor,BR,29,27660
375,M,51,Licenciatura,Asistente,FR,4,33253
376,F,41,Doctorado,Supervisor,MX,21,99338
377,F,60,Maestría,Especialista,FR,30,39040
378,F,31,Secundaria,Director,DE,17,56617
379,F,40,Secundaria,Especialista,MX,11,62068
380,F,60,Secundaria,Supervisor,FR,14,58043
381,F,23,Doctorado,Gerente,BR,36,57020
382,M,20,Preparatoria,Gerente,ES,36,112614
383,M,48,Preparatoria,Director,DE,21,97870
384,F,37,Secundaria,Gerente,MX,26,105425
385,F,33,Maestría,Especialista,MX,23,100289
386,M,30,Doctorado,Gerente,ES,12,94457
387,F,56,Secundaria,Gerente,BR,32,48979
388,F,30,Secundaria,Supervisor,ES,6,107250
389,M,51,Preparatoria,Gerente,US,22,90147
390,F,25,Maestría,Asistente,ES,23,94248
391,F,28,Doctorado,Analista,MX,40,25441
392,M,59,Doctorado,Supervisor,US,35,44542
393,F,47,Licenciatura,Asistente,US,15,27565
394,F,60,Maestría,Gerente,FR,21,67909
395,F,47,Preparatoria,Gerente,DE,20,115392
396,F,45,Licenciatura,Gerente,ES,7,97597
397,F,47,Preparatoria,Analista,DE,6,80014
398,M,50,Secundaria,Especialista,MX,26,99442
399,F,44,Licenciatura,Gerente,US,21,69734
400,M,20,Preparatoria,Gerente,BR,40,25191
401,M,22,Secundaria,Director,MX,32,88048
402,F,54,Preparatoria,Supervisor,FR,12,50351
403,F,32,Maestría,Supervisor,FR,25,49559
404,M,43,Preparatoria,Especialista,DE,13,39216
405,M,20,Maestría,Asistente,MX,17,65152
406,F,40,Preparatoria,Analista,ES,32,119487
407,M,53,Secundaria,Especialista,MX,23,80685
408,M,32,Maestría,Gerente,BR,22,57921
409,M,21,Doctorado,Analista,FR,29,116229
410,M,20,Maestría,Director,DE,24,60643
411,M,60,Secundaria,Analista,FR,11,101833
412,M,35,Maestría,Supervisor,MX,11,51144
413,F,34,Preparatoria,Analista,FR,21,107424
414,M,42,Preparatoria,Director,BR,2,77684
415,F,39,Doctorado,Analista,US,8,112796
416,F,28,Maestría,Director,ES,13,103849
417,M,26,Preparatoria,Analista,DE,38,99083
418,F,44,Maestría,Asistente,MX,20,98927
419,F,52,Licenciatura,Gerente,MX,33,71777
420,F,57,Preparatoria,Supervisor,MX,36,37594
421,M,39,Maestría,Supervisor,BR,19,74797
422,M,30,Preparatoria,Especialista,FR,36,86846
423,M,24,Licenciatura,Analista,US,35,106870
424,M,22,Licenciatura,Analista,DE,12,50725
425,F,39,Preparatoria,Analista,ES,26,57097
426,M,38,Licenciatura,Director,BR,40,67561
427,M,49,Preparatoria,Analista,BR,5,31003
428,F,53,Secundaria,Especialista,ES,13,69059
429,M,58,Doctorado,Asistente,US,6,71777
430,M,53,Secundaria,Analista,MX,6,86785
431,M,41,Licenciatura,Analista,MX,39,56610
432,F,47,Preparatoria,Gerente,MX,26,94794
433,M,28,Secundaria,Asistente,US,17,68703
434,F,41,Maestría,Analista,FR,10,89638
435,F,51,Maestría,Supervisor,FR,22,54829
436,F,42,Maestría,Asistente,BR,35,81468
437,F,32,Preparatoria,Asistente,DE,23,98719
438,F,30,Licenciatura,Director,DE,26,27153
439,M,45,Preparatoria,Supervisor,DE,9,115404
440,F,21,Licenciatura,Supervisor,MX,25,34996
441,F,34,Doctorado,Director,FR,7,38525
442,F,34,Preparatoria,Asistente,BR,19,99076
443,M,28,Doctorado,Supervisor,MX,40,42956
444,F,33,Preparatoria,Director,BR,37,55317
445,F,21,Doctorado,Director,BR,6,78835
446,M,57,Doctorado,Especialista,DE,21,30751
447,F,52,Preparatoria,Director,US,15,51864
448,F,30,Secundaria,Director,BR,29,86221
449,M,27,Maestría,Gerente,DE,3,79048
450,F,43,Doctorado,Director,BR,16,95120
451,M,22,Maestría,Especialista,FR,36,34516
452,F,44,Preparatoria,Supervisor,US,10,38449
453,F,60,Doctorado,Supervisor,MX,18,114254
454,F,36,Maestría,Asistente,BR,2,96901
455,M,54,Maestría,Analista,MX,32,82839
456,M,59,Licenciatura,Director,FR,15,119166
457,M,23,Secundaria,Director,ES,15,42789
458,M,58,Maestría,Analista,ES,16,53931
459,F,23,Preparatoria,Analista,US,15,53119
460,M,26,Preparatoria,Supervisor,ES,29,53635
461,M,21,Licenciatura,Especialista,BR,14,73611
462,M,23,Maestría,Supervisor,MX,10,37695
463,F,27,Doctorado,Especialista,US,1,29799
464,F,46,Preparatoria,Gerente,US,19,58614
465,F,48,Doctorado,Analista,MX,16,26533
466,F,44,Preparatoria,Asistente,FR,2,102004
467,F,27,Doctorado,Analista,MX,40,78626
468,M,55,Secundaria,Asistente,US,31,40765
469,M,36,Maestría,Director,BR,29,61754
470,F,50,Secundaria,Especialista,DE,27,109281
471,F,29,Secundaria,Gerente,FR,36,102152
472,M,33,Maestría,Director,FR,36,83961
473,F,60,Doctorado,Supervisor,MX,37,52405
474,F,20,Secundaria,Asistente,MX,13,37252
475,M,39,Maestría,Especialista,DE,27,69671
476,F,46,Doctorado,Especialista,US,12,56025
477,F,26,Maestría,Supervisor,MX,34,105186
478,F,53,Maestría,Asistente,MX,38,40568
479,F,37,Secundaria,Supervisor,MX,26,37256
480,M,59,Maestría,Especialista,US,37,57809
481,F,58,Maestría,Gerente,BR,25,103423
482,M,28,Preparatoria,Analista,US,17,95371
483,F,46,Secundaria,Especialista,ES,24,107458
484,F,26,Doctorado,Director,MX,17,56615
485,F,52,Secundaria,Analista,ES,28,30789
486,M,59,Maestría,Especialista,ES,24,87391
487,F,27,Preparatoria,Director,FR,24,115308
488,F,38,Preparatoria,Analista,DE,16,61317
489,F,27,Licenciatura,Especialista,US,21,95919
490,M,26,Licenciatura,Director,ES,35,46893
491,F,51,Preparatoria,Especialista,US,23,111153
492,M,32,Secundaria,Supervisor,FR,5,116208
493,M,58,Secundaria,Gerente,BR,9,25833
494,F,32,Maestría,Asistente,BR,21,89166
495,M,36,Licenciatura,Supervisor,DE,16,53358
496,M,53,Preparatoria,Supervisor,MX,35,78976
497,F,32,Maestría,Especialista,DE,38,68351
498,M,42,Doctorado,Asistente,MX,9,38119
499,F,46,Doctorado,Analista,MX,7,36627
500,M,38,Secundaria,Director,ES,33,91021
501,M,30,Maestría,Supervisor,FR,31,101399
502,F,22,Maestría,Supervisor,US,35,55058
503,F,55,Preparatoria,Especialista,BR,21,100454
504,F,51,Maestría,Especialista,DE,7,61394
505,M,33,Preparatoria,Analista,DE,39,25012
506,F,50,Licenciatura,Especialista,ES,15,80981
507,F,41,Maestría,Supervisor,US,23,116275
508,F,35,Secundaria,Director,BR,36,70738
509,F,20,Secundaria,Asistente,DE,15,71779
510,F,20,Maestría,Gerente,ES,30,84291
511,F,25,Licenciatura,Especialista,ES,18,97913
512,F,27,Doctorado,Gerente,FR,37,116218
513,M,56,Secundaria,Asistente,ES,4,46534
514,F,51,Licenciatura,Asistente,DE,30,28525
515,M,29,Maestría,Especialista,US,40,37780
516,M,25,Licenciatura,Asistente,FR,29,107209
517,F,52,Doctorado,Analista,ES,32,99934
518,M,24,Doctorado,Gerente,ES,38,27799
519,M,26,Doctorado,Supervisor,DE,28,112464
520,M,36,Preparatoria,Analista,FR,5,61078
521,M,34,Secundaria,Director,FR,11,50237
522,M,49,Doctorado,Especialista,MX,2,47553
523,M,38,Licenciatura,Asistente,MX,36,45572
524,M,36,Secundaria,Supervisor,ES,29,55699
525,M,49,Doctorado,Gerente,BR,36,30925
526,M,23,Licenciatura,Supervisor,DE,4,48513
527,M,26,Secundaria,Analista,FR,23,50671
528,F,31,Secundaria,Supervisor,BR,31,52403
529,M,22,Maestría,Especialista,ES,10,50905
530,M,38,Licenciatura,Asistente,MX,5,42383
531,F,43,Maestría,Gerente,US,23,63666
532,F,40,Doctorado,Gerente,US,5,85405
533,F,47,Secundaria,Gerente,FR,18,33031
534,M,27,Licenciatura,Gerente,US,37,111725
535,M,26,Licenciatura,Especialista,ES,17,83912
536,M,22,Preparatoria,Especialista,DE,2,54573
537,F,20,Doctorado,Analista,FR,39,106087
538,M,28,Secundaria,Analista,US,32,42631
539,M,30,Doctorado,Supervisor,MX,28,29127
540,F,41,Preparatoria,Especialista,ES,9,40450
541,F,42,Preparatoria,Analista,DE,26,119904
542,F,48,Licenciatura,Gerente,US,14,51760
543,M,59,Preparatoria,Director,MX,29,73056
544,M,37,Doctorado,Supervisor,US,20,107199
545,M,25,Secundaria,Director,DE,35,64268
546,M,43,Maestría,Gerente,BR,20,115014
547,F,41,Doctorado,Especialista,DE,22,81599
548,M,31,Preparatoria,Director,BR,15,45175
549,M,27,Preparatoria,Especialista,MX,37,115166
550,F,45,Licenciatura,Supervisor,MX,33,33292
551,F,45,Licenciatura,Especialista,BR,27,45849
552,F,49,Licenciatura,Analista,MX,10,87092
553,M,37,Doctorado,Especialista,ES,35,74556
554,F,44,Maestría,Gerente,ES,38,25999
555,M,50,Licenciatura,Asistente,FR,21,47462
556,F,46,Secundaria,Especialista,BR,1,74091
557,F,30,Secundaria,Especialista,ES,40,29604
558,M,27,Licenciatura,Supervisor,MX,4,94865
559,F,28,Licenciatura,Analista,MX,23,47950
560,F,23,Maestría,Especialista,ES,38,114710
561,F,30,Maestría,Director,FR,8,80096
562,M,26,Doctorado,Gerente,BR,5,39224
